제품명,C-Code,제품명_norm
아론정Aron Tab.,K-002691,아론정aron tab.
옥시크로린정100mgOxiklorin Tab. 100mg,K-002857,옥시크로린정100mgoxiklorin tab. 100mg
일동아목시실린수화물캡슐500mgAmoxicillin Cap. 500mg Ildong,K-002896,일동아목시실린수화물캡슐500mgamoxicillin cap. 500mg ildong
싸이신정250mgCycin Tab. 250mg,K-002943,싸이신정250mgcycin tab. 250mg
싸이신정500mgCycin Tab. 500mg,K-002944,싸이신정500mgcycin tab. 500mg
씨록정500mgCirok Tab. 500mg,K-003104,씨록정500mgcirok tab. 500mg
시로판정Ciropan Tab.,K-003137,시로판정ciropan tab.
자믹정Zamic Tab.,K-003173,자믹정zamic tab.
에펙신정100mgEffexin Tab. 100mg,K-003247,에펙신정100mgeffexin tab. 100mg
오구멘틴정625mgIlsung Augmentin Tab. 625mg,K-003361,오구멘틴정625mgilsung augmentin tab. 625mg
오로신정100mgOrocin Tab. 100mg,K-003490,오로신정100mgorocin tab. 100mg
크로세프캡슐250mgClocef Cap.,K-003491,크로세프캡슐250mgclocef cap.
포린피아정Forinpia Tab.,K-003499,포린피아정forinpia tab.
옥시크로린정200mgOxiklorin Tab. 200mg,K-003532,옥시크로린정200mgoxiklorin tab. 200mg
크린세프캡슐Cleancef Cap.,K-003576,크린세프캡슐cleancef cap.
세클렉스캡슐250mgCeclex Cap. 250mg,K-003700,세클렉스캡슐250mgceclex cap. 250mg
알보젠세파클러수화물캡슐250mgCefaclor Hydrate Cap. 250mg Alvogen,K-003707,알보젠세파클러수화물캡슐250mgcefaclor hydrate cap. 250mg alvogen
삼천당세프라딘캡슐Cefradine Cap. SCD,K-003718,삼천당세프라딘캡슐cefradine cap. scd
퍼킨정25-100mgPerkin Tab. 25-100mg,K-003726,퍼킨정25-100mgperkin tab. 25-100mg
퍼킨정25-250mgPerkin Tab. 25-250mg,K-003727,퍼킨정25-250mgperkin tab. 25-250mg
메디카세파클러캡슐250mgCefaclor Cap. 250mg Medica,K-003747,메디카세파클러캡슐250mgcefaclor cap. 250mg medica
세클린캡슐Ceclean Cap.,K-003909,세클린캡슐ceclean cap.
바난정Banan Tab.,K-004014,바난정banan tab.
포타신정Potacin Tab.,K-004072,포타신정potacin tab.
명인세파클러캡슐Cefaclor Cap. Myungin,K-004167,명인세파클러캡슐cefaclor cap. myungin
구주프로티온아미드정125mgProthionamide Tab. 125mg GuJu,K-004326,구주프로티온아미드정125mgprothionamide tab. 125mg guju
크라목신정375mgClamoxin Tab.,K-004469,크라목신정375mgclamoxin tab.
대우세파클러캡슐250mgCefaclor Cap. 250mg Daewoo,K-004562,대우세파클러캡슐250mgcefaclor cap. 250mg daewoo
드로세프캡슐500mgDrocef Cap. 500mg,K-004565,드로세프캡슐500mgdrocef cap. 500mg
아주세프라딘캡슐500mgCefradine Cap. 500mg Asia,K-004569,아주세프라딘캡슐500mgcefradine cap. 500mg asia
아주세파드록실캡슐500mgCefadroxil Cap. 500mg Aju,K-004572,아주세파드록실캡슐500mgcefadroxil cap. 500mg aju
크라맥스정375mgClamax Tab. 375mg,K-004578,크라맥스정375mgclamax tab. 375mg
파클캡슐Pacle Cap.,K-004601,파클캡슐pacle cap.
원클러캡슐250mgWonclor Cap. 250mg,K-004664,원클러캡슐250mgwonclor cap. 250mg
뉴포린캡슐250mgNewporine Cap. 250mg,K-004667,뉴포린캡슐250mgnewporine cap. 250mg
세프린캡슐500mgCefrine Cap. 500mg,K-004668,세프린캡슐500mgcefrine cap. 500mg
대화세파클러캡슐Daewha Cefaclor Cap.,K-004711,대화세파클러캡슐daewha cefaclor cap.
씨프러스정250mgCiplus Tab. 250mg,K-005003,씨프러스정250mgciplus tab. 250mg
보령메이액트정100mgMeiact Tab. 100mg Boryung,K-005068,보령메이액트정100mgmeiact tab. 100mg boryung
세파메칠정Cephamethyl Tab.,K-005163,세파메칠정cephamethyl tab.
레보프라이드정Levopride Tab. 25mg,K-005203,레보프라이드정levopride tab. 25mg
영풍독시사이클린정100mgDoxycycline Tab. 100mg Youngpoong,K-005248,영풍독시사이클린정100mgdoxycycline tab. 100mg youngpoong
코러스세프라딘캡슐500mgCefradine Cap. 500mg Korus,K-005342,코러스세프라딘캡슐500mgcefradine cap. 500mg korus
안국세파클러캡슐Ahngook Cefaclor Cap.,K-005606,안국세파클러캡슐ahngook cefaclor cap.
세크로신캡슐Cecrocin Cap.,K-005632,세크로신캡슐cecrocin cap.
삼남세파클러캡슐Cefaclor Cap. Samnam,K-005647,삼남세파클러캡슐cefaclor cap. samnam
마도파확산정125Madopar Dispersible Tab. 125,K-005962,마도파확산정125madopar dispersible tab. 125
에스리드정Eslid Tab.,K-006014,에스리드정eslid tab.
일동록시트로마이신정Roxithromycin Tab. Ildong,K-006130,일동록시트로마이신정roxithromycin tab. ildong
유한세파클러서방정375mgCefaclor SR Tab. 375mg Yuhan,K-006193,유한세파클러서방정375mgcefaclor sr tab. 375mg yuhan
동화세파클러캡슐Cefaclor Cap. Dongwha,K-006224,동화세파클러캡슐cefaclor cap. dongwha
일양세파드록실캡슐500mgCefadroxil Cap. 500mg Ilyang,K-006316,일양세파드록실캡슐500mgcefadroxil cap. 500mg ilyang
스키드마이신정150mgSkeedmycin Tab. 150mg,K-006378,스키드마이신정150mgskeedmycin tab. 150mg
넬슨세파클러캡슐250mgCefaclor Cap. 250mg Nelson,K-006557,넬슨세파클러캡슐250mgcefaclor cap. 250mg nelson
넬슨세프라딘캡슐250mgCefradine Cap. 250mg Nelson,K-006558,넬슨세프라딘캡슐250mgcefradine cap. 250mg nelson
넬슨세프라딘캡슐500mgCefradine Cap. 500mg Nelson,K-006559,넬슨세프라딘캡슐500mgcefradine cap. 500mg nelson
세픽스캡슐100mgCefix Cap. 100mg,K-006628,세픽스캡슐100mgcefix cap. 100mg
휴온스아목시실린캡슐500mgHuons Amoxicillin Cap. 500mg,K-006677,휴온스아목시실린캡슐500mghuons amoxicillin cap. 500mg
사프딘캡슐500mgSafdin Cap. 500mg,K-006762,사프딘캡슐500mgsafdin cap. 500mg
아디센정50mgAdisen Tab. 50mg,K-007014,아디센정50mgadisen tab. 50mg
원플록신정Lefloxin Tab.,K-007131,원플록신정lefloxin tab.
영일세파클러캡슐250mgYoungil Cefaclor Cap. 250mg,K-007240,영일세파클러캡슐250mgyoungil cefaclor cap. 250mg
조피린장용정Zopyrin Enteric-Coated Tab.,K-007447,조피린장용정zopyrin enteric-coated tab.
콘티박스디연질캡슐Gelatamin Soft Cap.,K-007500,콘티박스디연질캡슐gelatamin soft cap.
골사민캡슐Golsamin Cap.,K-008124,골사민캡슐golsamin cap.
지엘피코락정Picorak Tab. GL,K-008222,지엘피코락정picorak tab. gl
클래리시드엑스엘서방정500mgKlaricid-XL Tab. 500mg,K-008451,클래리시드엑스엘서방정500mgklaricid-xl tab. 500mg
디스피드정Dispeed Tab.,K-008550,디스피드정dispeed tab.
센스모닝정(방풍통성산)Sense Morning Tab.,K-008792,센스모닝정(방풍통성산)sense morning tab.
레보딘정Levodin Tab.,K-008929,레보딘정levodin tab.
이소메릭정Isomeric Tab. 25mg,K-009015,이소메릭정isomeric tab. 25mg
클라로마정Claroma Tab.,K-009330,클라로마정claroma tab.
덴티스타캡슐Dentistar Cap.,K-009417,덴티스타캡슐dentistar cap.
크라모틴정Amomentin Tab.,K-009429,크라모틴정amomentin tab.
삐삐콜플러스정Pbipbicol Plus Tab.,K-009443,삐삐콜플러스정pbipbicol plus tab.
세포독심정100mgCepodoxime Tab. 100mg,K-009451,세포독심정100mgcepodoxime tab. 100mg
세프틸정250mgCeftil Tab. 250mg,K-009458,세프틸정250mgceftil tab. 250mg
설프라이드정25mgSulpride Tab.,K-009461,설프라이드정25mgsulpride tab.
사데닌정Sadenin Tab.,K-009563,사데닌정sadenin tab.
에이리스정Alesse Tab.,K-010270,에이리스정alesse tab.
썰타목스정500mgSultamox Tab. 500mg,K-010281,썰타목스정500mgsultamox tab. 500mg
클래신정Clasin Tab.,K-010731,클래신정clasin tab.
레보록신정Levoloxin Tab.,K-010733,레보록신정levoloxin tab.
훼로바유서방정Feroba-You SR Tab.,K-010749,훼로바유서방정feroba-you sr tab.
클래리정250mgClari Tab. 250mg,K-010931,클래리정250mgclari tab. 250mg
파크러캡슐Faclor Cap. 250mg,K-010934,파크러캡슐faclor cap. 250mg
유나신정375mgUnasyn Tab. 375mg,K-011274,유나신정375mgunasyn tab. 375mg
중외세파클러캡슐Cefaclor Cap. Choongwae,K-011396,중외세파클러캡슐cefaclor cap. choongwae
시프로셀정250mgCiprocell Tab. 250mg,K-011530,시프로셀정250mgciprocell tab. 250mg
레보미신정Levomicin Tab.,K-011564,레보미신정levomicin tab.
유크라정375mgYucla Tab. 375mg,K-011566,유크라정375mgyucla tab. 375mg
맥시크란정Maxiclan Tab.,K-011701,맥시크란정maxiclan tab.
아목시클정(7:1)Amoxicle Tab.,K-011833,아목시클정(7:1)amoxicle tab.
레복사신정500mgLevoxacin Tab. 500mg,K-012080,레복사신정500mglevoxacin tab. 500mg
탈스탑캡슐Talstop Cap.,K-012150,탈스탑캡슐talstop cap.
명문세파클러수화물캡슐250mgCefaclor Hydrate Cap. 250mg Myungmoon,K-012178,명문세파클러수화물캡슐250mgcefaclor hydrate cap. 250mg myungmoon
팩티브정320mgFactive Tab. 320mg,K-012187,팩티브정320mgfactive tab. 320mg
데놀정Denol Tab.,K-012207,데놀정denol tab.
노르믹스정Normix Tab.,K-012506,노르믹스정normix tab.
클로신정250mgClocin Tab. 250mg,K-012606,클로신정250mgclocin tab. 250mg
메솔론정Mesolon Tab.,K-012649,메솔론정mesolon tab.
세파로캡슐Cefaro Cap.,K-012742,세파로캡슐cefaro cap.
다보타민큐정Dabotamin Q Tab.,K-012778,다보타민큐정dabotamin q tab.
세크런캡슐Cecrun Cap.,K-012979,세크런캡슐cecrun cap.
펩스리드정Pepsrid Tab.,K-013028,펩스리드정pepsrid tab.
씬지록신정50μgSynthyroxine Tab. 50㎍,K-013103,씬지록신정50μgsynthyroxine tab. 50㎍
뉴클러캡슐Nuclur Cap.,K-013129,뉴클러캡슐nuclur cap.
클라로마정500mgClaroma Tab.500mg,K-013273,클라로마정500mgclaroma tab.500mg
레보팔시드정Levopalsid Tab.,K-013618,레보팔시드정levopalsid tab.
경보세파클러캡슐Kyongbo Cefaclor Cap.,K-013635,경보세파클러캡슐kyongbo cefaclor cap.
삼성세파클러캡슐250mgCefaclor Cap. 250mg Samsung,K-014143,삼성세파클러캡슐250mgcefaclor cap. 250mg samsung
나노크라정375mgNanocra Tab. 375mg,K-014206,나노크라정375mgnanocra tab. 375mg
위더스세프라딘캡슐500mgWithus Cefradine Cap. 500mg,K-014228,위더스세프라딘캡슐500mgwithus cefradine cap. 500mg
시클러캡슐250mgCeclor Cap. 250mg,K-014258,시클러캡슐250mgceclor cap. 250mg
시클러MR서방정375mgCeclor MR Tab. 375mg,K-014261,시클러mr서방정375mgceclor mr tab. 375mg
삐콤씨에이스정Beecom-C Ace Tab.,K-014274,삐콤씨에이스정beecom-c ace tab.
바이넥스세파클러캡슐Cefaclor Cap. Binex,K-014300,바이넥스세파클러캡슐cefaclor cap. binex
세프레캡슐250mgCefre Cap. 250mg,K-014320,세프레캡슐250mgcefre cap. 250mg
카모딕스현탁정78.125mgCamodix Dispersible Tab. 78.125mg,K-014383,카모딕스현탁정78.125mgcamodix dispersible tab. 78.125mg
세바클캡슐250mgCebacle Cap. 250mg,K-014487,세바클캡슐250mgcebacle cap. 250mg
일양세파클러캡슐250mgCefaclor Cap. 250mg Ilyang,K-014607,일양세파클러캡슐250mgcefaclor cap. 250mg ilyang
씨트클러캡슐250mgCitclor Cap. 250mg,K-014921,씨트클러캡슐250mgcitclor cap. 250mg
글로세파드록실캡슐Glo Cefadroxil Cap.,K-015136,글로세파드록실캡슐glo cefadroxil cap.
라모크린정625mgLamocrin Tab. 625mg,K-015197,라모크린정625mglamocrin tab. 625mg
아목클란듀오정500mgAmoclan Duo Tab. 500mg,K-015270,아목클란듀오정500mgamoclan duo tab. 500mg
세라캡슐Sera Cap.,K-015469,세라캡슐sera cap.
세파딜캡슐Cefadil Cap.,K-015623,세파딜캡슐cefadil cap.
삼익세파드록실캡슐500mgCefadroxil Cap. 500mg Samik,K-015671,삼익세파드록실캡슐500mgcefadroxil cap. 500mg samik
올세파캡슐Olcefa Cap.,K-015727,올세파캡슐olcefa cap.
세나프캡슐250mgCenaf Cap. 250mg,K-016036,세나프캡슐250mgcenaf cap. 250mg
유리세프캡슐Uricef Cap.,K-016041,유리세프캡슐uricef cap.
세픽캡슐Cefick Cap.,K-016050,세픽캡슐cefick cap.
레보론정25mgLevoron Tab. 25mg,K-016063,레보론정25mglevoron tab. 25mg
세프콜캡슐Cefcol Cap.,K-016080,세프콜캡슐cefcol cap.
세이크캡슐250mgCeic Cap. 250mg,K-016110,세이크캡슐250mgceic cap. 250mg
세러캡슐Celor Cap.,K-016162,세러캡슐celor cap.
스타레보필름코팅정200/50/200mgStalevo Film Coated Tab. 200/50/20mg,K-016222,스타레보필름코팅정200/50/200mgstalevo film coated tab. 200/50/20mg
록세미신정150mgRoxemicin Tab. 150mg,K-016394,록세미신정150mgroxemicin tab. 150mg
플라비톨정Plavitor Tab.,K-016546,플라비톨정plavitor tab.
후로목스정100mgFlomox Tab. 100mg,K-016645,후로목스정100mgflomox tab. 100mg
실리세프연질캡슐Silicef Soft Cap.,K-016650,실리세프연질캡슐silicef soft cap.
아로나민아이정Aronamin Eye Tab.,K-016652,아로나민아이정aronamin eye tab.
클로피정Clopi Tab.,K-016804,클로피정clopi tab.
진셀몬큐텐정Zinselmon Q10 Tab.,K-016866,진셀몬큐텐정zinselmon q10 tab.
오젝스정Ozex Tab. 150mg,K-017312,오젝스정ozex tab. 150mg
클로피드정Clopid Tab.,K-017972,클로피드정clopid tab.
뉴프라딘캡슐Newpradin Cap.,K-017977,뉴프라딘캡슐newpradin cap.
지스로맥스정250mgZithromax Tab. 250mg,K-018156,지스로맥스정250mgzithromax tab. 250mg
제일크라비트정Jeil Cravit Tab.,K-018403,제일크라비트정jeil cravit tab.
레보세티정Levoceti Tab.,K-018641,레보세티정levoceti tab.
팜스비타에프연질캡슐Pharmsvita F Soft Cap.,K-018681,팜스비타에프연질캡슐pharmsvita f soft cap.
로도질정Rodogyl Tab.,K-018990,로도질정rodogyl tab.
펩타졸정40mgPeptazol Tab. 40mg,K-019259,펩타졸정40mgpeptazol tab. 40mg
레보텐션정2.5mgLevotension Tab. 2.5mg,K-019313,레보텐션정2.5mglevotension tab. 2.5mg
애니세프캡슐100mgAnycef Cap. 100mg,K-019549,애니세프캡슐100mganycef cap. 100mg
트루비타정Truvita Tab.,K-019552,트루비타정truvita tab.
웰큐비타정Wellq Vita Tab.,K-019558,웰큐비타정wellq vita tab.
명문레보설피리드정Levosulpiride Tab. Myungmoon,K-019762,명문레보설피리드정levosulpiride tab. myungmoon
코텐비타연질캡슐Cotenvita Soft Cap.,K-019803,코텐비타연질캡슐cotenvita soft cap.
마도파정Madopar Tab.,K-019860,마도파정madopar tab.
레코푸정Lecough Tab.,K-019958,레코푸정lecough tab.
보령세파클러캡슐Cefaclor Cap. Boryung,K-020085,보령세파클러캡슐cefaclor cap. boryung
플라빅스정75mgPlavix Tab. 75mg,K-020238,플라빅스정75mgplavix tab. 75mg
코푸투스정Coughtuss Tab.,K-020297,코푸투스정coughtuss tab.
브로피딘정Bropidin Tab.,K-020300,브로피딘정bropidin tab.
레보솔정Levosol Tab.,K-020641,레보솔정levosol tab.
래피손정Rapison Tab.,K-020730,래피손정rapison tab.
레보펙신정Levofexin Tab.,K-020769,레보펙신정levofexin tab.
판투스정Pantuss Tab.,K-020827,판투스정pantuss tab.
얼사라정20mgUlcera Tab. 20mg,K-020973,얼사라정20mgulcera tab. 20mg
라베칸정20mgRabekhan Tab. 20mg,K-020975,라베칸정20mgrabekhan tab. 20mg
코큐텐비타알부정CoQ10 Vitaalbu Tab.,K-020988,코큐텐비타알부정coq10 vitaalbu tab.
크라비트정250mgCravit Tab. 250mg,K-020997,크라비트정250mgcravit tab. 250mg
조인탑200연질캡슐Jointop 200 Soft Cap.,K-021048,조인탑200연질캡슐jointop 200 soft cap.
세프디어캡슐100mgCefdiar Cap. 100mg,K-021540,세프디어캡슐100mgcefdiar cap. 100mg
라비에트정20mgRabiet Tab.20mg,K-021771,라비에트정20mgrabiet tab.20mg
모아뷰연질캡슐Moaview Soft Cap.,K-022232,모아뷰연질캡슐moaview soft cap.
설박신정500mgSulbaxin Tab. 500mg,K-022244,설박신정500mgsulbaxin tab. 500mg
레보펙신정250mgLevofexin Tab. 250mg,K-022377,레보펙신정250mglevofexin tab. 250mg
미니보라30Minivlar 30,K-022977,미니보라30minivlar 30
레브로콜정60mgLebrocol Tab. 60mg,K-023411,레브로콜정60mglebrocol tab. 60mg
레티리진정Letirizine Tab.,K-023519,레티리진정letirizine tab.
하이세펜정Hycephen Tab.,K-023729,하이세펜정hycephen tab.
라비에트정10mgRabiet Tab.10mg,K-024266,라비에트정10mgrabiet tab.10mg
베아신정250mgBearcin Tab. 250mg,K-024297,베아신정250mgbearcin tab. 250mg
엘티리진정L-Tirizine Tab.,K-024393,엘티리진정l-tirizine tab.
아지탑스정250mgAzitops Tab. 250mg,K-024397,아지탑스정250mgazitops tab. 250mg
레보틸정Levotil Tab.,K-024655,레보틸정levotil tab.
콘티아민연질캡슐Chontiamine Soft Cap.,K-024883,콘티아민연질캡슐chontiamine soft cap.
코큐헬씨타민연질캡슐CoQhealthytamin Soft Cap.,K-024950,코큐헬씨타민연질캡슐coqhealthytamin soft cap.
고운자임수정Gowoonzymesoo Tab.,K-026154,고운자임수정gowoonzymesoo tab.
씨엔큐플러스연질캡슐CNQ Plus Soft Cap.,K-026822,씨엔큐플러스연질캡슐cnq plus soft cap.
프리비정Pre-B Tab.,K-027193,프리비정pre-b tab.
판토록정40mgPantoloc Tab. 40mg,K-027868,판토록정40mgpantoloc tab. 40mg
큐텐업골드연질캡슐Q10 Up Gold Soft Cap.,K-027961,큐텐업골드연질캡슐q10 up gold soft cap.
펜폴캡슐Penpol Cap.,K-028096,펜폴캡슐penpol cap.
비타알부골드정Vita Albu Gold Tab.,K-028285,비타알부골드정vita albu gold tab.
후라베린큐엑스정Furaberin QX Tab.,K-028575,후라베린큐엑스정furaberin qx tab.
하이타민정Hitamin Tab.,K-028633,하이타민정hitamin tab.
폴리아린에프캡슐Poliarin F Cap.,K-028902,폴리아린에프캡슐poliarin f cap.
클로피린캡슐Clopirin Cap.,K-029356,클로피린캡슐clopirin cap.
슈퍼피린캡슐75/100mgSuperpirin Cap. 75/100mg,K-029357,슈퍼피린캡슐75/100mgsuperpirin cap. 75/100mg
튜비스정Tubes Tab.,K-030008,튜비스정tubes tab.
게그론캡슐Gagron Cap.,K-030474,게그론캡슐gagron cap.
세크라캡슐500mg(수출용)Cecra Cap. 500mg (for export),K-030528,세크라캡슐500mg(수출용)cecra cap. 500mg (for export)
로베돌정10mgRobedol Tab. 10mg,K-030725,로베돌정10mgrobedol tab. 10mg
위드에이정10mgWith-A Tab. 10mg,K-030741,위드에이정10mgwith-a tab. 10mg
비오플록점안액Vioflox Eye Drops,K-030850,비오플록점안액vioflox eye drops
아나솔정Anasol Tab.,K-030891,아나솔정anasol tab.
아클란정375mgAclan Tab. 375mg Dongkook,K-030912,아클란정375mgaclan tab. 375mg dongkook
마이믹스정Mymix Tab.,K-031132,마이믹스정mymix tab.
듀비에정0.5mgDuvie Tab. 0.5mg,K-031357,듀비에정0.5mgduvie tab. 0.5mg
콘센비타프리미엄정Chonsenvita Premium Tab.,K-031387,콘센비타프리미엄정chonsenvita premium tab.
레보세트린정Levocetrin Tab.,K-031478,레보세트린정levocetrin tab.
뉴세파캡슐250mgNewcefa Cap. 250mg,K-031840,뉴세파캡슐250mgnewcefa cap. 250mg
메치론정1mgMethylon Tab.,K-031875,메치론정1mgmethylon tab.
대웅레보플록사신정100mgDaewoong Levofloxacin Tab. 100mg,K-031888,대웅레보플록사신정100mgdaewoong levofloxacin tab. 100mg
메가트루골드정Megatrue Gold Tab.,K-031974,메가트루골드정megatrue gold tab.
모록사신정400mgMoroxacin Tab. 400mg,K-031977,모록사신정400mgmoroxacin tab. 400mg
세클엠캡슐Cecle-M Cap.,K-032067,세클엠캡슐cecle-m cap.
클래트론정250mgClatron Tab. 250mg,K-032089,클래트론정250mgclatron tab. 250mg
모벨록신정400mgMoveloxin Tab. 400mg,K-032104,모벨록신정400mgmoveloxin tab. 400mg
바이클러캡슐Biclor Cap.,K-032108,바이클러캡슐biclor cap.
헬씨파워연질캡슐Healthy Power Soft Cap.,K-032227,헬씨파워연질캡슐healthy power soft cap.
코싹엘정Cossac-L Tab.,K-032236,코싹엘정cossac-l tab.
큐엔타민골드정Q & Tamin Gold Tab.,K-032279,큐엔타민골드정q & tamin gold tab.
비타씬포르테엠정Vitathin Forte M Tab.,K-032941,비타씬포르테엠정vitathin forte m tab.
쎄파실캡슐Cefacil Cap. HUTECS,K-033043,쎄파실캡슐cefacil cap. hutecs
명문라푸티딘정10mgLafutidine Tab. 10mg Myungmoon,K-033198,명문라푸티딘정10mglafutidine tab. 10mg myungmoon
진셀몬큐디플러스연질캡슐Zinselmone-QD Plus Soft Cap.,K-033479,진셀몬큐디플러스연질캡슐zinselmone-qd plus soft cap.
라베파정10mgRabepa Tab. 10mg,K-033720,라베파정10mgrabepa tab. 10mg
빅콘에스600정Bigchon-S 600 Tab.,K-034323,빅콘에스600정bigchon-s 600 tab.
환인라베프라졸정20mgRabeprazole Tab. 20mg Hwanin,K-034526,환인라베프라졸정20mgrabeprazole tab. 20mg hwanin
베아솔론정Beasolone Tab.,K-034789,베아솔론정beasolone tab.
에스다운정S-Down Tab.,K-034927,에스다운정s-down tab.
엑셀비타프리미엄정Excell Vita Premium Tab.,K-034946,엑셀비타프리미엄정excell vita premium tab.
레보플러스정Levo plus Tab.,K-035007,레보플러스정levo plus tab.
아로나민실버프리미엄정Aronamin Silver Premium Tab.,K-035190,아로나민실버프리미엄정aronamin silver premium tab.
비타콘틴600정Vitachontin 600 Tab.,K-035351,비타콘틴600정vitachontin 600 tab.
오구멘탐정375mgAugumentam Tab. 375mg,K-035610,오구멘탐정375mgaugumentam tab. 375mg
오클란정Auclan Tab.,K-035811,오클란정auclan tab.
옥시크로린정150mgOxiklorin Tab. 150mg,K-035833,옥시크로린정150mgoxiklorin tab. 150mg
트리레보정125/31.25/200mgTrilevo Tab. 125/31.25/200mg,K-037298,트리레보정125/31.25/200mgtrilevo tab. 125/31.25/200mg
현대세파클러캡슐250mgCefaclor Cap. 250mg Hyundai,K-037498,현대세파클러캡슐250mgcefaclor cap. 250mg hyundai
센티렉스실버어드밴스정Centirex Silver Advance Tab.,K-037500,센티렉스실버어드밴스정centirex silver advance tab.
센티렉스어드밴스정Centirex Advance Tab.,K-037501,센티렉스어드밴스정centirex advance tab.
크레빅스정Crevix Tab.,K-037576,크레빅스정crevix tab.
바이타맥스골드정Vitamax Gold Tab.,K-037644,바이타맥스골드정vitamax gold tab.
메가세클러캡슐MegaCefaclor Cap.,K-037653,메가세클러캡슐megacefaclor cap.
디클렉틴장용정Diclectin Enteric Coated Tab.,K-037933,디클렉틴장용정diclectin enteric coated tab.
파워콘친골드연질캡슐Powerchontin Gold Soft Cap.,K-038076,파워콘친골드연질캡슐powerchontin gold soft cap.
옥시크로린정400mgOxychlorine Tab. 400mg,K-038212,옥시크로린정400mgoxychlorine tab. 400mg
옥시크로린정300mgOxiklorin Tab. 300mg,K-038262,옥시크로린정300mgoxiklorin tab. 300mg
레드로피정Ledropi Tab.,K-038727,레드로피정ledropi tab.
나인나인정Ninenine Tab.,K-038852,나인나인정ninenine tab.
엘레비트정Elevit Tab.,K-038957,엘레비트정elevit tab.
앤도민300프리미엄연질캡슐Andomin 300 Premium Soft Cap.,K-038962,앤도민300프리미엄연질캡슐andomin 300 premium soft cap.
베아투스정Beartuss Tab.,K-039108,베아투스정beartuss tab.
셀트리온레보플록사신정100mgCelltrion Levofloxacin Tab. 100mg,K-039201,셀트리온레보플록사신정100mgcelltrion levofloxacin tab. 100mg
로페리놀에스캡슐Loperinol S Cap.,K-039934,로페리놀에스캡슐loperinol s cap.
