제품명,C-Code
씨트클러캡슐250mgCitclor Cap. 250mg,K-014921
글로세파드록실캡슐Glo Cefadroxil Cap.,K-015136
라모크린정625mgLamocrin Tab. 625mg,K-015197
아목클란듀오정500mgAmoclan Duo Tab. 500mg,K-015270
세라캡슐Sera Cap.,K-015469
세파딜캡슐Cefadil Cap.,K-015623
삼익세파드록실캡슐500mgCefadroxil Cap. 500mg Samik,K-015671
올세파캡슐Olcefa Cap.,K-015727
세나프캡슐250mgCenaf Cap. 250mg,K-016036
유리세프캡슐Uricef Cap.,K-016041
세픽캡슐Cefick Cap.,K-016050
레보론정25mgLevoron Tab. 25mg,K-016063
세프콜캡슐Cefcol Cap.,K-016080
세이크캡슐250mgCeic Cap. 250mg,K-016110
세러캡슐Celor Cap.,K-016162
스타레보필름코팅정200/50/200mgStalevo Film Coated Tab. 200/50/20mg,K-016222
록세미신정150mgRoxemicin Tab. 150mg,K-016394
플라비톨정Plavitor Tab.,K-016546
후로목스정100mgFlomox Tab. 100mg,K-016645
실리세프연질캡슐Silicef Soft Cap.,K-016650
아로나민아이정Aronamin Eye Tab.,K-016652
클로피정Clopi Tab.,K-016804
진셀몬큐텐정Zinselmon Q10 Tab.,K-016866
오젝스정Ozex Tab. 150mg,K-017312
클로피드정Clopid Tab.,K-017972
뉴프라딘캡슐Newpradin Cap.,K-017977
지스로맥스정250mgZithromax Tab. 250mg,K-018156
제일크라비트정Jeil Cravit Tab.,K-018403
레보세티정Levoceti Tab.,K-018641
팜스비타에프연질캡슐Pharmsvita F Soft Cap.,K-018681
로도질정Rodogyl Tab.,K-018990
펩타졸정40mgPeptazol Tab. 40mg,K-019259
레보텐션정2.5mgLevotension Tab. 2.5mg,K-019313
애니세프캡슐100mgAnycef Cap. 100mg,K-019549
트루비타정Truvita Tab.,K-019552
웰큐비타정Wellq Vita Tab.,K-019558
명문레보설피리드정Levosulpiride Tab. Myungmoon,K-019762
코텐비타연질캡슐Cotenvita Soft Cap.,K-019803
마도파정Madopar Tab.,K-019860
레코푸정Lecough Tab.,K-019958
보령세파클러캡슐Cefaclor Cap. Boryung,K-020085
플라빅스정75mgPlavix Tab. 75mg,K-020238
코푸투스정Coughtuss Tab.,K-020297
브로피딘정Bropidin Tab.,K-020300
레보솔정Levosol Tab.,K-020641
래피손정Rapison Tab.,K-020730
레보펙신정Levofexin Tab.,K-020769
판투스정Pantuss Tab.,K-020827
얼사라정20mgUlcera Tab. 20mg,K-020973
라베칸정20mgRabekhan Tab. 20mg,K-020975
코큐텐비타알부정CoQ10 Vitaalbu Tab.,K-020988
크라비트정250mgCravit Tab. 250mg,K-020997
조인탑200연질캡슐Jointop 200 Soft Cap.,K-021048
세프디어캡슐100mgCefdiar Cap. 100mg,K-021540
라비에트정20mgRabiet Tab.20mg,K-021771
모아뷰연질캡슐Moaview Soft Cap.,K-022232
설박신정500mgSulbaxin Tab. 500mg,K-022244
레보펙신정250mgLevofexin Tab. 250mg,K-022377
미니보라30Minivlar 30,K-022977
레브로콜정60mgLebrocol Tab. 60mg,K-023411
레티리진정Letirizine Tab.,K-023519
하이세펜정Hycephen Tab.,K-023729
라비에트정10mgRabiet Tab.10mg,K-024266
베아신정250mgBearcin Tab. 250mg,K-024297
엘티리진정L-Tirizine Tab.,K-024393
아지탑스정250mgAzitops Tab. 250mg,K-024397
레보틸정Levotil Tab.,K-024655
콘티아민연질캡슐Chontiamine Soft Cap.,K-024883
코큐헬씨타민연질캡슐CoQhealthytamin Soft Cap.,K-024950
고운자임수정Gowoonzymesoo Tab.,K-026154
씨엔큐플러스연질캡슐CNQ Plus Soft Cap.,K-026822
프리비정Pre-B Tab.,K-027193
판토록정40mgPantoloc Tab. 40mg,K-027868
큐텐업골드연질캡슐Q10 Up Gold Soft Cap.,K-027961
펜폴캡슐Penpol Cap.,K-028096
비타알부골드정Vita Albu Gold Tab.,K-028285
후라베린큐엑스정Furaberin QX Tab.,K-028575
하이타민정Hitamin Tab.,K-028633
폴리아린에프캡슐Poliarin F Cap.,K-028902
클로피린캡슐Clopirin Cap.,K-029356
슈퍼피린캡슐75/100mgSuperpirin Cap. 75/100mg,K-029357
튜비스정Tubes Tab.,K-030008
게그론캡슐Gagron Cap.,K-030474
세크라캡슐500mg(수출용)Cecra Cap. 500mg (for export),K-030528
로베돌정10mgRobedol Tab. 10mg,K-030725
위드에이정10mgWith-A Tab. 10mg,K-030741
비오플록점안액Vioflox Eye Drops,K-030850
아나솔정Anasol Tab.,K-030891
아클란정375mgAclan Tab. 375mg Dongkook,K-030912
마이믹스정Mymix Tab.,K-031132
듀비에정0.5mgDuvie Tab. 0.5mg,K-031357
콘센비타프리미엄정Chonsenvita Premium Tab.,K-031387
레보세트린정Levocetrin Tab.,K-031478
뉴세파캡슐250mgNewcefa Cap. 250mg,K-031840
메치론정1mgMethylon Tab.,K-031875
대웅레보플록사신정100mgDaewoong Levofloxacin Tab. 100mg,K-031888
메가트루골드정Megatrue Gold Tab.,K-031974
모록사신정400mgMoroxacin Tab. 400mg,K-031977
세클엠캡슐Cecle-M Cap.,K-032067
클래트론정250mgClatron Tab. 250mg,K-032089
모벨록신정400mgMoveloxin Tab. 400mg,K-032104
바이클러캡슐Biclor Cap.,K-032108
헬씨파워연질캡슐Healthy Power Soft Cap.,K-032227
코싹엘정Cossac-L Tab.,K-032236
큐엔타민골드정Q & Tamin Gold Tab.,K-032279
비타씬포르테엠정Vitathin Forte M Tab.,K-032941
쎄파실캡슐Cefacil Cap. HUTECS,K-033043
명문라푸티딘정10mgLafutidine Tab. 10mg Myungmoon,K-033198
진셀몬큐디플러스연질캡슐Zinselmone-QD Plus Soft Cap.,K-033479
라베파정10mgRabepa Tab. 10mg,K-033720
빅콘에스600정Bigchon-S 600 Tab.,K-034323
환인라베프라졸정20mgRabeprazole Tab. 20mg Hwanin,K-034526
베아솔론정Beasolone Tab.,K-034789
에스다운정S-Down Tab.,K-034927
엑셀비타프리미엄정Excell Vita Premium Tab.,K-034946
레보플러스정Levo plus Tab.,K-035007
아로나민실버프리미엄정Aronamin Silver Premium Tab.,K-035190
비타콘틴600정Vitachontin 600 Tab.,K-035351
오구멘탐정375mgAugumentam Tab. 375mg,K-035610
오클란정Auclan Tab.,K-035811
옥시크로린정150mgOxiklorin Tab. 150mg,K-035833
트리레보정125/31.25/200mgTrilevo Tab. 125/31.25/200mg,K-037298
현대세파클러캡슐250mgCefaclor Cap. 250mg Hyundai,K-037498
센티렉스실버어드밴스정Centirex Silver Advance Tab.,K-037500
센티렉스어드밴스정Centirex Advance Tab.,K-037501
크레빅스정Crevix Tab.,K-037576
바이타맥스골드정Vitamax Gold Tab.,K-037644
메가세클러캡슐MegaCefaclor Cap.,K-037653
디클렉틴장용정Diclectin Enteric Coated Tab.,K-037933
파워콘친골드연질캡슐Powerchontin Gold Soft Cap.,K-038076
옥시크로린정400mgOxychlorine Tab. 400mg,K-038212
옥시크로린정300mgOxiklorin Tab. 300mg,K-038262
레드로피정Ledropi Tab.,K-038727
나인나인정Ninenine Tab.,K-038852
엘레비트정Elevit Tab.,K-038957
앤도민300프리미엄연질캡슐Andomin 300 Premium Soft Cap.,K-038962
베아투스정Beartuss Tab.,K-039108
셀트리온레보플록사신정100mgCelltrion Levofloxacin Tab. 100mg,K-039201
로페리놀에스캡슐Loperinol S Cap.,K-039934
씬지록신정150μgSynthyroxine Tab. 150μg,K-040119
바로코민골드정Varocomin Gold Tab.,K-040326
비알세티정BR Ceti Tab.,K-040733
모아헬드원정Moahealthone Tab.,K-041092
네오빅스정Neovix Tab.,K-041221
조인파워연질캡슐Joinpower Soft Cap.,K-041344
제클러캡슐250mgJeclor Cap. 250mg,K-041600
몬테리진캡슐Monterizine Cap.,K-041676
록셀정150mgRocel Tab. 150mg,K-041744
벤포벨브이정Benfobell V Tab.,K-042035
씬지록신정75μgSynthyroxine Tab. 75μg,K-042103
콘파워600정Conpower 600 Tab.,K-042174
씬지록신정125μgSynthyroxine Tab. 125μg,K-042262
씬지록신정25μgSynthyroxine Tab. 25μg,K-042269
씬지록신정100μgSynthyroxine Tab. 100μg,K-042340
프리미엄미네코다정Premium Minecoda Tab.,K-042736
슈퍼피린캡슐75/75mgSuperpirin Cap. 75/75mg,K-042835
콘티플러스연질캡슐Chonti Plus Soft Cap.,K-043376
빅조인에프정Bigjoin F Tab.,K-043468
에스슬림정S-slim Tab.,K-043508
보령니트로푸란토인캡슐Boryung Nitrofurantoin Cap.,K-043511
몬테리진츄정Monterizine Chewable Tab.,K-043670
살사라인정Salsaline Tab.,K-043911
본탑600골드정Bonetop 600 Gold Tab.,K-044171
제이그렐정Jgrel Tab.,K-044312
디펜티딘정10mgDifentidine Tab. 10mg,K-044704
넥콘600에프정Necon 600 F Tab.,K-044831
쎄클러캡슐250mgSeclor Cap. 250mg,K-044832
멀티큐텐플러스정Multi-Q10 Plus Tab.,K-044872
에이목스캡슐500mgA-mox Cap. 500mg,K-044927
세파콜에프캡슐Cefacol F Cap.,K-044948
메피솔론정Mepisolone Tab.,K-044992
세파독심정Cefadoxime Tab.,K-045311
셀트리온네오파정Celltrion NeopaTab.,K-045325
세프리온캡슐Ceprion Cap.,K-045442
세파난정Cefanan Tab.,K-046030
록씨원정Roxiwon Tab.,K-046470
세파원캡슐500mgCefaone Cap. 500mg,K-046870
조인본골드정Join Bon Gold Tab.,K-047633
고려세파클러캡슐KDC Cefaclor Cap.,K-047816
레보콜드정Levocold Tab.,K-048130
비코잘정5mgBicozal Tab. 5mg,K-048170
제이세파캡슐250mgJ-cefa Cap. 250mg,K-048653
세클리캡슐Ceclri Cap.,K-048684
퍼킨씨알정50-200mgPerkin CR Tab. 50-200mg,K-049428
조인트맥스프리미엄정Joint Max Premium Tab.,K-049633
콘조탑골드600정Chonjotop Gold 600 Tab.,K-052476
콘빅600정Conbic 600 Tab.,K-052542
미네큐비타정Minae Q Vita Tab.,K-052986
